URL,Title,Brand,SKU,Inventory
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-casual-lace-up-shoe,Weinbrenner Casual Lace-Up Shoe,Weinbrenner,8214922,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-casual-lace-up-shoe-for-men-1,WEINBRENNER Casual Lace-up Shoe for Men,Weinbrenner,8214921,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-alfa-3d-energy-lifestyle-sneakers-for-men-3,Bata Alfa 3D Energy Lifestyle Sneakers for Men,Bata 3D,8219479,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-beehive-casual-shoe-for-men,Bata BEEHIVE Casual Shoe for Men,Bata,8212914,In stock
https://www.batabd.com/collections/casual-shoes/products/mens-casual-open-back-moc-toe-slippers-1,Men's Casual Open Back Moc-toe Slippers,Bata,8516936,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-nadal-slip-on-casual-shoe,North Star Nadal Slip-On Casual Shoe,North Star,8899088,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-mens-turner-mt-oxford-1,Hush Puppies Men's Turner MT Oxford,Hush Puppies,8066611,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-turner-mt-slip-on-shoe-1,Hush Puppies Turner MT Slip-On Shoe,Hush Puppies,8066610,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-nadal-slip-ons-1,North Star Nadal Slip-Ons,North Star,8899002,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-outdoor-shoe-for-men-1,Weinbrenner Outdoor Shoe for Men,Weinbrenner,8212017,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-stark-casual-shoe,Hush Puppies Stark Casual Shoe,Hush Puppies,8044660,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-remon-casual-loafer-for-men,Bata Casual Contemporary Loafer for Men,Bata,8546095,In stock
https://www.batabd.com/collections/casual-shoes/products/hp-aaron-derby-shoe,HP Aaron Derby Shoe,Hush Puppies,8046121,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-lace-up-casual-shoe-in-brown,Weinbrenner Lace-up Casual Shoe in Brown,Weinbrenner,8214923,In stock
https://www.batabd.com/collections/casual-shoes/products/dark-brown-loafer-for-men-by-bata,Dark Brown Loafer for Men by Bata,Bata,8514088,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-outdoor-shoe-for-men,Weinbrenner Outdoor Shoe for Men,Weinbrenner,8216017,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-hobart-brown-shoe-in-black,Weinbrenner Hobart Brown Shoe in Black,Weinbrenner,8216072,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-casual-loafer-for-men-7,Bata Casual Loafer for Men,Bata,8514907,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-santiago-casual-shoe,North Star Santiago Casual Shoe,North Star,8816015,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-remon-casual-loafer-for-men-1,Bata Remon Casual Loafer for Men,Bata,8544095,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-beehive-casual-shoe-for-men-3,Bata Beehive Casual Shoe for Men,Bata,8219917,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-lace-up-casual-shoe-in-black,Weinbrenner Lace-up Casual Shoe in Black,Weinbrenner,8216923,In stock
https://www.batabd.com/collections/casual-shoes/products/gray-casual-shoes-for-men,Gray Casual Shoes For Men,North Star,8892098,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-brown-casual-shoes-for-men-4,North Star Brown Casual Shoes For Men,North Star,8896045,In stock
https://www.batabd.com/collections/casual-shoes/products/casual-shoes-for-men,Weinbrenner FORREST GUMP Casual Shoe for Men,Weinbrenner,8242944,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-canvas-shoe-17,North Star Canvas Shoe,North Star,8899032,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-santiago-casual-slip-on-shoe,North Star Santiago Casual Slip-on Shoe,North Star,8816016,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-santiago-casual-slip-on-shoe-1,North Star Santiago Casual Slip-on Shoe,North Star,8817016,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-black-formal-shoe-2,Bata Black Formal Shoe,Bata,8246986,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-brown-loafer,Weinbrenner Brown Loafer,Weinbrenner,8514914,In stock
https://www.batabd.com/collections/casual-shoes/products/black-casual-shoe-by-north-star,Black Casual Shoe by North Star,North Star,8896001,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-canvas-shoe-14,North Star Canvas Shoe,North Star,8896039,In stock
https://www.batabd.com/collections/casual-shoes/products/black-casual-shoes-for-men-13,Black Casual Shoes For Men,North Star,8896098,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-nadal-slip-ons,North Star Nadal Slip-Ons,North Star,8896002,In stock
https://www.batabd.com/collections/casual-shoes/products/mens-casual-loafer-by-bata,Men's Casual Loafer by Bata,Bata,8514935,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-lex-loafer,Bata LEX Loafer,Bata,8516932,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-turner-mt-slip-on-shoe,Hush Puppies Turner MT Slip-On Shoe,Hush Puppies,8064610,In stock
https://www.batabd.com/collections/casual-shoes/products/blue-casual-shoes-for-men-17,Blue Casual Shoes For Men,North Star,8899098,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-loafer-for-men,WEINBRENNER Loafer for Men,Weinbrenner,8516909,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-hobart-brown-shoe-in-black-1,Weinbrenner Hobart Brown Shoe in Black,Weinbrenner,8214072,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-mack-mocassino,Bata MACK Mocassino,Bata,8516935,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-sherman-outdoor-sneaker-for-men-1,Weinbrenner SHERMAN Outdoor Sneaker for Men,Weinbrenner,8212937,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-oval-slip-on-shoe-for-men-1,Hush Puppies Oval Slip-on Shoe for Men,Hush Puppies,8064635,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-sherman-outdoor-sneaker-for-men,Weinbrenner SHERMAN Outdoor Sneaker for Men,Weinbrenner,8216937,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-loafer-for-men-1,WEINBRENNER Loafer for Men,Weinbrenner,8516910,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-mens-casual-globe-sneaker,Bata Men's Casual GLOBE Sneaker,Bata,8216993,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-remon-mens-casual-loafer,Bata REMON Men's Casual Loafer,Bata,8546074,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-patton-casual-shoe-for-men,WEINBRENNER PATTON Casual Shoe for Men,Weinbrenner,8514927,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-patton-casual-shoe-for-men-1,WEINBRENNER PATTON Casual Shoe for Men,Weinbrenner,8516927,In stock
